StartSample,EndSample
108009,109029
691936,693160
732344,733466
743164,744388
746632,747805
748723,749896
751681,752854
955302,956577
959433,960818
999688,1000716
1183878,1185357
1379331,1380359
1538872,1540818
1675047,1676577
1707958,1709539
1824490,1825867
1894384,1895761
1978974,1980359
2059739,2060818
2339688,2340767
2439739,2441124
2671273,2672395
2698719,2700257
2812752,2813772
2819178,2820818
2820971,2822042
2839484,2840665
2918413,2919586
3213721,3214945
3258056,3261022
3285408,3286887
3417036,3418056
3455710,3458617
3539382,3541073
3595404,3596424
3624235,3625255
3819637,3821022
3919637,3920665
4174588,4175761
4179739,4180767
4419637,4420818
4439688,4440716
4479229,4480257
4494894,4496628
4565510,4566530
4567958,4569182
4590049,4591732
4615353,4616373
4616679,4617699
4790712,4791885
4802705,4803725
4878362,4880359
4884592,4886275
4887448,4888621
4902450,4903623
4919280,4920410
4931681,4932905
5059331,5060359
5217954,5219586
5242603,5244031
5299433,5300461
5323470,5325255
5339637,5340716
5478413,5479739
5559178,5560359
5599280,5600461
5676832,5678413
5986734,5988315
6018311,6020614
6112395,6113466
6359280,6360308
6485867,6486887
6514741,6516016
6559586,6560665
6619025,6620512
6623980,6625204
6679637,6681328
6733211,6734894
6750865,6752140
6804643,6806071
7153670,7154690
7172242,7173568
7216628,7218056
7262348,7263368
7339331,7340359
7342399,7343623
7365408,7366632
7439484,7440512
7459637,7460818
7521889,7523062
7539382,7540512
7852803,7853823
8219127,8220257
8226581,8227652
8407193,8408519
8465714,8466887
8509947,8511324
8519688,8520767
8574639,8576118
8598566,8599586
8764082,8765102
8919280,8920512
9073670,9074843
9089641,9090661
9163419,9164439
9350049,9351630
9375506,9376832
9452956,9453976
9456067,9457546
9462195,9463572
9615659,9616730
10079637,10080920
10139637,10140767
10174486,10175506
10339433,10340818
10364133,10365204
10489386,10490712
10495557,10496628
10499382,10501481
10504694,10506224
10629080,10630559
10837597,10838770
10854588,10855608
11068060,11069233
11080461,11081940
11097189,11098719
11417240,11418260
11583062,11584541
11679637,11680716
11810100,11811171
11850916,11851936
11859484,11861175
11868060,11869080
11902246,11904235
11913364,11914639
11920512,11921532
11948213,11949335
11970406,11971630
11981175,11982246
12206734,12207754
12435353,12436424
12456628,12457801
12554588,12555863
12558413,12559535
12647244,12648417
12939331,12940563
12999637,13000665
13139280,13140308
13226479,13227601
13339637,13340869
13559637,13561226
13676475,13677495
13704592,13705765
14099739,14100818
14553874,14555302
14779025,14780257
15150712,15151783
15211477,15212803
15639739,15640869
15969998,15971171
16050661,16051834
16079739,16080869
16159076,16160257
16219280,16220359
16279484,16280767
16419127,16420359
16460869,16462399
16608468,16609641
17483368,17484592
17486428,17487499
17579433,17580665
17639229,17640461
17875710,17877699
17879637,17881175
17885102,17886530
18479229,18480257
18739637,18740665
19071375,19072446
19346020,19348162
19357495,19358770
19363623,19365051
19433619,19435608
19435659,19436832
19457393,19458719
19613109,19614129
19779076,19780257
19836322,19837597
